,price,momentum_score,amount_to_invest,num_shares,investment_pct,support,support_date,timestamp
XLI,166.885,0.0829825373527873,39600.0,237,0.33,163.17999267578125,2026-01-20 00:00:00-05:00,2026-03-18 07:58:47
XLE,50.35,0.1069594825686801,33000.0,655,0.33,47.5,2026-01-20 00:00:00-05:00,2026-03-18 07:58:47
XLB,49.6,0.0925149421965349,33000.0,665,0.33,48.02000045776367,2026-01-20 00:00:00-05:00,2026-03-18 07:58:47
XLI,166.87,0.0828726356951209,33000.0,197,0.33,163.17999267578125,2026-01-20 00:00:00-05:00,2026-03-18 07:58:47
XLE,52.225,0.1387713165641997,33000.0,631,0.33,48.290000915527344,2026-01-21 00:00:00-05:00,2026-03-18 07:58:47
XLB,50.615,0.1105373226444223,33000.0,651,0.33,48.66999816894531,2026-01-21 00:00:00-05:00,2026-03-18 07:58:47
XLP,87.01,0.090202672726838,33000.0,379,0.33,81.66000366210938,2026-01-21 00:00:00-05:00,2026-03-18 07:58:47
XLE,52.21,0.1386888427472966,33000.0,632,0.33,48.41999816894531,2026-01-22 00:00:00-05:00,2026-03-18 07:58:47
XLB,50.5,0.1086879416529757,33000.0,653,0.33,48.810001373291016,2026-01-30 00:00:00-05:00,2026-03-18 07:58:47
XLI,168.37,0.0910432698278509,33000.0,195,0.33,163.52000427246094,2026-01-28 00:00:00-05:00,2026-03-18 07:58:47
XLE,53.295,0.1562237433223285,33000.0,619,0.33,48.41999816894531,2026-01-22 00:00:00-05:00,2026-03-18 07:58:47
XLB,51.59,0.1277732981973698,33000.0,639,0.33,48.810001373291016,2026-01-30 00:00:00-05:00,2026-03-18 07:58:47
XLI,173.345,0.1172321808688966,33000.0,190,0.33,163.52000427246094,2026-01-28 00:00:00-05:00,2026-03-18 07:58:47
XLE,53.64,0.1616507139149829,33000.0,615,0.33,48.95000076293945,2026-01-26 00:00:00-05:00,2026-03-18 07:58:47
XLB,52.18,0.1373848384062591,33000.0,632,0.33,48.810001373291016,2026-01-30 00:00:00-05:00,2026-03-18 07:58:47
XLI,173.7,0.1189346882033117,33000.0,189,0.33,163.52000427246094,2026-01-28 00:00:00-05:00,2026-03-18 07:58:47
XLE,54.78,0.1790972057353516,33000.0,602,0.33,51.43999862670898,2026-02-05 00:00:00-05:00,2026-03-18 07:58:47
XLB,53.02,0.1510513372535982,33000.0,622,0.33,50.36000061035156,2026-02-05 00:00:00-05:00,2026-03-18 07:58:47
XLI,175.04,0.1256795894704938,33000.0,188,0.33,167.4499969482422,2026-02-05 00:00:00-05:00,2026-03-18 07:58:47
XLE,55.05,0.1831234334179004,33000.0,599,0.33,53.18000030517578,2026-02-17 00:00:00-05:00,2026-03-18 07:58:47
XLB,53.0,0.1507309597743132,33000.0,622,0.33,52.08000183105469,2026-02-17 00:00:00-05:00,2026-03-18 07:58:47
XLI,176.7,0.133893355838699,33000.0,186,0.33,172.4499969482422,2026-02-12 00:00:00-05:00,2026-03-18 07:58:47
XLE,56.59,0.1682717807209004,33000.0,583,0.33,53.18000030517578,2026-02-17 00:00:00-05:00,2026-03-18 07:58:47
XLB,52.005,0.1041061750843993,33000.0,634,0.33,50.69499969482422,2026-03-03 00:00:00-05:00,2026-03-18 07:58:47
XLI,175.64,0.1003336430187181,33000.0,187,0.33,172.6699981689453,2026-03-03 00:00:00-05:00,2026-03-18 07:58:47
XLE,56.5365,0.1673889916879959,33000.0,583,0.33,53.18000030517578,2026-02-17 00:00:00-05:00,2026-03-18 07:58:47
XLB,52.0487,0.1049667671505726,33000.0,634,0.33,50.69499969482422,2026-03-03 00:00:00-05:00,2026-03-18 07:58:47
XLI,175.855,0.1014335734543098,33000.0,187,0.33,172.6699981689453,2026-03-03 00:00:00-05:00,2026-03-18 07:58:47
XLE,56.19,0.1623509533902074,33000.0,587,0.33,54.119998931884766,2026-02-26 00:00:00-05:00,2026-03-18 07:58:47
XLB,51.92,0.1027257378594023,33000.0,635,0.33,50.68999862670898,2026-03-03 00:00:00-05:00,2026-03-18 07:58:47
XLI,175.97,0.1020208104420184,33000.0,187,0.33,172.6699981689453,2026-03-03 00:00:00-05:00,2026-03-18 07:58:47
XLE,57.7,0.1842720982841552,33000.0,571,0.33,55.33000183105469,2026-03-04 00:00:00-05:00,2026-03-18 07:58:47
XLU,46.96,0.0728098894190025,33000.0,702,0.33,45.959999084472656,2026-03-03 00:00:00-05:00,2026-03-18 07:58:47
XLB,49.19,0.0529278516957898,33000.0,670,0.33,48.59999847412109,2026-03-09 00:00:00-04:00,2026-03-18 07:58:47
XLE,58.51,0.19556486192096656,33000.0,564,0.33,55.33000183105469,2026-03-04 00:00:00-05:00,2026-03-18 07:58:47
XLU,47.13,0.0761542923366102,33000.0,700,0.33,45.959999084472656,2026-03-03 00:00:00-05:00,2026-03-18 07:58:47
XLB,49.52,0.059239101568258734,33000.0,666,0.33,48.599998474121094,2026-03-09 00:00:00-04:00,2026-03-18 07:58:47
